benchmark,factor,model,f0_original,f0_replicate,abs_drift_pp,signed_drift_pp,edge_flip_rate,n_orig_responses,n_rep_responses,n_edges_compared,n_edges_flipped,orig_path,rep_path
trolley,handedness,qwen3-235b-a22b-2507,0.95375,0.9379217273954116,1.5828272604588411,-1.5828272604588411,0.0,800,741,92,0,moral-steerability-paper/google_drive/results_clean_arxiv/simple_handedness/qwen3-235b-a22b-2507/emotional/20260122_105003_base/preference_graph_qwen3-235b-a22b-2507.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_handedness/qwen3-235b-a22b-2507/base/20260501_131254_base/preference_graph_qwen3-235b-a22b-2507.json
trolley,nationality,deepseek-v3-2-non-reasoning,0.87625,0.86875,0.7499999999999951,-0.7499999999999951,0.05263157894736842,800,800,95,5,moral-steerability-paper/google_drive/results_clean_arxiv/simple_nationality/deepseek-v3-2-non-reasoning/emotional/20260122_134828_base/preference_graph_deepseek-v3-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_nationality/deepseek-v3-2-non-reasoning/base/20260501_131135_base/preference_graph_deepseek-v3-2-non-reasoning.json
trolley,nationality,gpt-5-2-non-reasoning,0.94625,0.9492847854356307,0.3034785435630627,0.3034785435630627,0.01098901098901099,800,769,91,1,moral-steerability-paper/google_drive/results_clean_arxiv/simple_nationality/gpt-5-2-non-reasoning/emotional/20260122_111045_base/preference_graph_gpt-5-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_nationality/gpt-5-2-non-reasoning/base/20260501_130918_base/preference_graph_gpt-5-2-non-reasoning.json
trolley,nationality,grok-41-fast-non-reasoning,0.835,0.8525,1.750000000000007,1.750000000000007,0.0,800,800,73,0,moral-steerability-paper/google_drive/results_clean_arxiv/simple_nationality/grok-41-fast-non-reasoning/emotional/20260122_105528_base/preference_graph_grok-41-fast-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_nationality/grok-41-fast-non-reasoning/base/20260501_130725_base/preference_graph_grok-41-fast-non-reasoning.json
trolley,nationality,llama-33-70b,0.72625,0.7230576441102757,0.3192355889724219,-0.3192355889724219,0.0,800,798,45,0,moral-steerability-paper/google_drive/results_clean_arxiv/simple_nationality/llama-33-70b/emotional/20260122_102713_base/preference_graph_llama-33-70b.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_nationality/llama-33-70b/base/20260501_130712_base/preference_graph_llama-33-70b.json
trolley,nationality,qwen3-235b-a22b-2507,0.775,0.7719528178243774,0.3047182175622609,-0.3047182175622609,0.03333333333333333,800,763,90,3,moral-steerability-paper/google_drive/results_clean_arxiv/simple_nationality/qwen3-235b-a22b-2507/emotional/20260122_104457_base/preference_graph_qwen3-235b-a22b-2507.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_nationality/qwen3-235b-a22b-2507/base/20260501_131424_base/preference_graph_qwen3-235b-a22b-2507.json
trolley,wealth,deepseek-v3-2-non-reasoning,0.5575,0.5894868585732165,3.198685857321648,3.198685857321648,0.022727272727272728,800,799,88,2,moral-steerability-paper/google_drive/results_clean_arxiv/simple_wealth/deepseek-v3-2-non-reasoning/emotional/20260121_201747_base/preference_graph_deepseek-v3-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_wealth/deepseek-v3-2-non-reasoning/base/20260501_131249_base/preference_graph_deepseek-v3-2-non-reasoning.json
trolley,wealth,gpt-5-2-non-reasoning,0.5925,0.57875,1.375000000000004,-1.375000000000004,0.05747126436781609,800,800,87,5,moral-steerability-paper/google_drive/results_clean_arxiv/simple_wealth/gpt-5-2-non-reasoning/emotional/20260121_210639_base/preference_graph_gpt-5-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_wealth/gpt-5-2-non-reasoning/base/20260501_131002_base/preference_graph_gpt-5-2-non-reasoning.json
trolley,wealth,grok-41-fast-non-reasoning,0.64625,0.6175,2.8749999999999942,-2.8749999999999942,0.0,800,800,74,0,moral-steerability-paper/google_drive/results_clean_arxiv/simple_wealth/grok-41-fast-non-reasoning/emotional/20260121_204033_base/preference_graph_grok-41-fast-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_wealth/grok-41-fast-non-reasoning/base/20260501_130749_base/preference_graph_grok-41-fast-non-reasoning.json
trolley,wealth,llama-33-70b,0.4725,0.4575,1.4999999999999958,-1.4999999999999958,0.0,800,800,100,0,moral-steerability-paper/google_drive/results_clean_arxiv/simple_wealth/llama-33-70b/emotional/20260121_194027_base/preference_graph_llama-33-70b.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_wealth/llama-33-70b/base/20260501_130732_base/preference_graph_llama-33-70b.json
trolley,wealth,qwen3-235b-a22b-2507,0.45875,0.47434119278779474,1.559119278779475,1.559119278779475,0.0,800,721,99,0,moral-steerability-paper/google_drive/results_clean_arxiv/simple_wealth/qwen3-235b-a22b-2507/emotional/20260121_190905_base/preference_graph_qwen3-235b-a22b-2507.json,experiments/2026-05-01-baseline-noise/results_trolley_baseline_replicate/simple_wealth/qwen3-235b-a22b-2507/base/20260501_131608_base/preference_graph_qwen3-235b-a22b-2507.json
